ind,code
汽電共生-發電營運,8926
LED照明產業-光源/磊晶,2340
LED照明產業-光源/磊晶,2491
LED照明產業-光源/磊晶,3339
LED照明產業-光源/磊晶,3383
LED照明產業-光源/磊晶,3714
LED照明產業-光源/磊晶,4768
LED照明產業-光源/磊晶,4956
LED照明產業-光源/磊晶,6222
LED照明產業-光源/磊晶,6271
LED照明產業-光源/磊晶,6278
LED照明產業-光源/磊晶,6289
LED照明產業-封裝/模組,1809
LED照明產業-封裝/模組,2301
LED照明產業-封裝/模組,2371
LED照明產業-封裝/模組,2393
LED照明產業-封裝/模組,2491
LED照明產業-封裝/模組,3026
LED照明產業-封裝/模組,3031
LED照明產業-封裝/模組,3052
LED照明產業-封裝/模組,3066
LED照明產業-封裝/模組,3346
LED照明產業-封裝/模組,3383
LED照明產業-封裝/模組,3437
LED照明產業-封裝/模組,3444
LED照明產業-封裝/模組,3591
LED照明產業-封裝/模組,3714
LED照明產業-封裝/模組,4760
LED照明產業-封裝/模組,5230
LED照明產業-封裝/模組,5244
LED照明產業-封裝/模組,5434
LED照明產業-封裝/模組,6164
LED照明產業-封裝/模組,6168
LED照明產業-封裝/模組,6207
LED照明產業-封裝/模組,6222
LED照明產業-封裝/模組,6226
LED照明產業-封裝/模組,6261
LED照明產業-封裝/模組,6271
LED照明產業-封裝/模組,6278
LED照明產業-封裝/模組,6288
LED照明產業-封裝/模組,8085
LED照明產業-封裝/模組,8111
LED照明產業-燈具/應用,1538
LED照明產業-燈具/應用,1611
LED照明產業-燈具/應用,2301
LED照明產業-燈具/應用,2308
LED照明產業-燈具/應用,2390
LED照明產業-燈具/應用,2393
LED照明產業-燈具/應用,2426
LED照明產業-燈具/應用,2438
LED照明產業-燈具/應用,2483
LED照明產業-燈具/應用,2491
LED照明產業-燈具/應用,3015
LED照明產業-燈具/應用,3023
LED照明產業-燈具/應用,3026
LED照明產業-燈具/應用,3031
LED照明產業-燈具/應用,3066
LED照明產業-燈具/應用,3260
LED照明產業-燈具/應用,3346
LED照明產業-燈具/應用,3406
LED照明產業-燈具/應用,3413
LED照明產業-燈具/應用,3483
LED照明產業-燈具/應用,3516
LED照明產業-燈具/應用,3591
LED照明產業-燈具/應用,3609
LED照明產業-燈具/應用,4924
LED照明產業-燈具/應用,4935
LED照明產業-燈具/應用,4972
LED照明產業-燈具/應用,5230
LED照明產業-燈具/應用,5291
LED照明產業-燈具/應用,5344
LED照明產業-燈具/應用,5460
LED照明產業-燈具/應用,6124
LED照明產業-燈具/應用,6164
LED照明產業-燈具/應用,6207
LED照明產業-燈具/應用,6222
LED照明產業-燈具/應用,6224
LED照明產業-燈具/應用,6226
LED照明產業-燈具/應用,6278
LED照明產業-燈具/應用,6288
LED照明產業-燈具/應用,6412
LED照明產業-燈具/應用,8070
LED照明產業-燈具/應用,8085
LED照明產業-燈具/應用,8111
LED照明產業-生產製程、檢測設備及原物料,2360
LED照明產業-生產製程、檢測設備及原物料,2426
LED照明產業-生產製程、檢測設備及原物料,2459
LED照明產業-生產製程、檢測設備及原物料,2491
LED照明產業-生產製程、檢測設備及原物料,3114
LED照明產業-生產製程、檢測設備及原物料,3388
LED照明產業-生產製程、檢測設備及原物料,3490
LED照明產業-生產製程、檢測設備及原物料,3551
LED照明產業-生產製程、檢測設備及原物料,3583
LED照明產業-生產製程、檢測設備及原物料,4755
LED照明產業-生產製程、檢測設備及原物料,5434
LED照明產業-生產製程、檢測設備及原物料,5536
LED照明產業-生產製程、檢測設備及原物料,6207
LED照明產業-生產製程、檢測設備及原物料,6218
LED照明產業-生產製程、檢測設備及原物料,6223
LED照明產業-生產製程、檢測設備及原物料,6224
LED照明產業-生產製程、檢測設備及原物料,6261
LED照明產業-生產製程、檢測設備及原物料,6271
LED照明產業-生產製程、檢測設備及原物料,6277
LED照明產業-生產製程、檢測設備及原物料,6278
LED照明產業-生產製程、檢測設備及原物料,6613
LED照明產業-生產製程、檢測設備及原物料,6706
LED照明產業-生產製程、檢測設備及原物料,8070
LED照明產業-生產製程、檢測設備及原物料,8091
LED照明產業-生產製程、檢測設備及原物料,8109
LED照明產業-生產製程、檢測設備及原物料,8374
LED照明產業-藍寶石晶圓/晶片,2371
LED照明產業-藍寶石晶圓/晶片,2491
LED照明產業-藍寶石晶圓/晶片,3383
LED照明產業-藍寶石晶圓/晶片,3615
LED照明產業-藍寶石晶圓/晶片,6278
交通運輸及航運-散裝航運,2601
交通運輸及航運-散裝航運,2605
交通運輸及航運-散裝航運,2606
交通運輸及航運-散裝航運,2612
交通運輸及航運-散裝航運,2614
交通運輸及航運-散裝航運,2617
交通運輸及航運-散裝航運,2637
交通運輸及航運-散裝航運,2641
交通運輸及航運-散裝航運,5608
交通運輸及航運-散裝航運,8367
交通運輸及航運-海陸空大眾運輸,2607
交通運輸及航運-海陸空大眾運輸,2610
交通運輸及航運-海陸空大眾運輸,2612
交通運輸及航運-海陸空大眾運輸,2618
交通運輸及航運-海陸空大眾運輸,2633
交通運輸及航運-海陸空大眾運輸,2645
交通運輸及航運-海陸空大眾運輸,2646
交通運輸及航運-海陸空大眾運輸,6757
交通運輸及航運-海陸空大眾運輸,8109
交通運輸及航運-海陸空貨運承攬,2607
交通運輸及航運-海陸空貨運承攬,2608
交通運輸及航運-海陸空貨運承攬,2612
交通運輸及航運-海陸空貨運承攬,2636
交通運輸及航運-海陸空貨運承攬,2642
交通運輸及航運-海陸空貨運承攬,2643
交通運輸及航運-海陸空貨運承攬,5609
交通運輸及航運-海陸空貨運承攬,9917
交通運輸及航運-貨櫃航運,2603
交通運輸及航運-貨櫃航運,2607
交通運輸及航運-貨櫃航運,2609
交通運輸及航運-貨櫃航運,2615
交通運輸及航運-貨櫃航運,8367
交通運輸及航運-貨櫃運輸集散及倉儲,1103
交通運輸及航運-貨櫃運輸集散及倉儲,2607
交通運輸及航運-貨櫃運輸集散及倉儲,2611
交通運輸及航運-貨櫃運輸集散及倉儲,2612
交通運輸及航運-貨櫃運輸集散及倉儲,2613
交通運輸及航運-貨櫃運輸集散及倉儲,2616
交通運輸及航運-貨櫃運輸集散及倉儲,2630
交通運輸及航運-貨櫃運輸集散及倉儲,5601
交通運輸及航運-貨櫃運輸集散及倉儲,5603
交通運輸及航運-貨櫃運輸集散及倉儲,5607
交通運輸及航運-貨櫃運輸集散及倉儲,9917
人工智慧-智慧設備,2308
人工智慧-智慧設備,2357
人工智慧-智慧設備,3297
人工智慧-智慧設備,3455
人工智慧-智慧設備,5209
人工智慧-智慧設備,6163
人工智慧-智慧設備,6263
人工智慧-智慧設備,6412
人工智慧-智慧設備,6658
人工智慧-智慧設備,6680
人工智慧-智慧設備,6739
人工智慧-智慧設備,6741
人工智慧-智慧設備,6752
人工智慧-智慧設備,6865
人工智慧-智慧設備,6870
人工智慧-智慧設備,6877
人工智慧-智慧設備,8374
人工智慧-機器學習,2308
人工智慧-機器學習,2388
人工智慧-機器學習,2498
人工智慧-機器學習,3029
人工智慧-機器學習,3227
人工智慧-機器學習,4952
人工智慧-機器學習,5209
人工智慧-機器學習,5236
人工智慧-機器學習,5474
人工智慧-機器學習,6112
人工智慧-機器學習,6163
人工智慧-機器學習,6277
人工智慧-機器學習,6412
人工智慧-機器學習,6658
人工智慧-機器學習,6689
人工智慧-機器學習,6695
人工智慧-機器學習,6741
人工智慧-機器學習,6752
人工智慧-機器學習,6865
人工智慧-機器學習,6870
人工智慧-機器學習,8099
人工智慧-機器學習,8374
人工智慧-移動控制,1504
人工智慧-移動控制,2357
人工智慧-移動控制,3227
人工智慧-移動控制,5209
人工智慧-移動控制,6752
人工智慧-移動控制,6865
人工智慧-移動控制,8374
人工智慧-系統整合,2308
人工智慧-系統整合,2453
人工智慧-系統整合,2471
人工智慧-系統整合,2480
人工智慧-系統整合,2495
人工智慧-系統整合,3029
人工智慧-系統整合,3128
人工智慧-系統整合,3632
人工智慧-系統整合,4953
人工智慧-系統整合,5209
人工智慧-系統整合,5351
人工智慧-系統整合,5371
人工智慧-系統整合,5474
人工智慧-系統整合,6112
人工智慧-系統整合,6140
人工智慧-系統整合,6163
人工智慧-系統整合,6412
人工智慧-系統整合,6658
人工智慧-系統整合,6689
人工智慧-系統整合,6697
人工智慧-系統整合,6739
人工智慧-系統整合,6752
人工智慧-系統整合,6811
人工智慧-系統整合,6865
人工智慧-系統整合,6870
人工智慧-系統整合,8099
人工智慧-系統整合,8374
人工智慧-自然語言處理,5209
人工智慧-自然語言處理,6112
人工智慧-自然語言處理,6277
人工智慧-自然語言處理,6741
人工智慧-自然語言處理,6752
人工智慧-自然語言處理,6865
人工智慧-自然語言處理,6870
人工智慧-自然語言處理,8099
人工智慧-資料處理,2480
人工智慧-資料處理,2498
人工智慧-資料處理,5209
人工智慧-資料處理,6112
人工智慧-資料處理,6163
人工智慧-資料處理,6412
人工智慧-資料處理,6658
人工智慧-資料處理,6689
人工智慧-資料處理,6697
人工智慧-資料處理,6741
人工智慧-資料處理,6752
人工智慧-資料處理,6811
人工智慧-資料處理,6865
人工智慧-資料處理,6870
人工智慧-資料處理,6906
人工智慧-資料處理,8099
人工智慧-運算設備,2308
人工智慧-運算設備,2480
人工智慧-運算設備,2495
人工智慧-運算設備,3029
人工智慧-運算設備,3706
人工智慧-運算設備,5209
人工智慧-運算設備,6112
人工智慧-運算設備,6140
人工智慧-運算設備,6412
人工智慧-運算設備,6669
人工智慧-運算設備,6680
人工智慧-運算設備,6752
人工智慧-運算設備,6865
人工智慧-運算設備,8099
人工智慧-雲端平台,2480
人工智慧-雲端平台,2495
人工智慧-雲端平台,2498
人工智慧-雲端平台,3029
人工智慧-雲端平台,5209
人工智慧-雲端平台,6112
人工智慧-雲端平台,6263
人工智慧-雲端平台,6412
人工智慧-雲端平台,6658
人工智慧-雲端平台,6689
人工智慧-雲端平台,6741
人工智慧-雲端平台,6752
人工智慧-雲端平台,6811
人工智慧-雲端平台,6865
人工智慧-雲端平台,6870
人工智慧-雲端平台,6906
人工智慧-雲端平台,8099
人工智慧-電腦視覺,2308
人工智慧-電腦視覺,2388
人工智慧-電腦視覺,3227
人工智慧-電腦視覺,3632
人工智慧-電腦視覺,3669
人工智慧-電腦視覺,4952
人工智慧-電腦視覺,5209
人工智慧-電腦視覺,5236
人工智慧-電腦視覺,5351
人工智慧-電腦視覺,6163
人工智慧-電腦視覺,6412
人工智慧-電腦視覺,6658
人工智慧-電腦視覺,6695
人工智慧-電腦視覺,6752
人工智慧-電腦視覺,6865
人工智慧-電腦視覺,8374
人工智慧-領域解決方案,2308
人工智慧-領域解決方案,2352
人工智慧-領域解決方案,2388
人工智慧-領域解決方案,2453
人工智慧-領域解決方案,2498
人工智慧-領域解決方案,3297
人工智慧-領域解決方案,4953
人工智慧-領域解決方案,5203
人工智慧-領域解決方案,5209
人工智慧-領域解決方案,5351
人工智慧-領域解決方案,5371
人工智慧-領域解決方案,6112
人工智慧-領域解決方案,6163
人工智慧-領域解決方案,6412
人工智慧-領域解決方案,6516
人工智慧-領域解決方案,6689
人工智慧-領域解決方案,6739
人工智慧-領域解決方案,6741
人工智慧-領域解決方案,6752
人工智慧-領域解決方案,6791
人工智慧-領域解決方案,6811
人工智慧-領域解決方案,6841
人工智慧-領域解決方案,6865
人工智慧-領域解決方案,6870
人工智慧-領域解決方案,8099
人工智慧-顧問諮詢,2308
人工智慧-顧問諮詢,2480
人工智慧-顧問諮詢,3029
人工智慧-顧問諮詢,5209
人工智慧-顧問諮詢,6112
人工智慧-顧問諮詢,6412
人工智慧-顧問諮詢,6689
人工智慧-顧問諮詢,6697
人工智慧-顧問諮詢,6739
人工智慧-顧問諮詢,6741
人工智慧-顧問諮詢,6752
人工智慧-顧問諮詢,6811
人工智慧-顧問諮詢,6865
人工智慧-顧問諮詢,6870
休閒娛樂-休閒車業,1599
休閒娛樂-休閒車業,2308
休閒娛樂-休閒車業,3162
休閒娛樂-休閒車業,3665
休閒娛樂-休閒車業,4536
休閒娛樂-休閒車業,5306
休閒娛樂-休閒車業,6804
休閒娛樂-休閒車業,8481
休閒娛樂-休閒車業,8933
休閒娛樂-休閒車業,8937
休閒娛樂-休閒車業,9914
休閒娛樂-休閒車業,9921
休閒娛樂-娛樂服務業,1432
休閒娛樂-娛樂服務業,1532
休閒娛樂-娛樂服務業,2701
休閒娛樂-娛樂服務業,2705
休閒娛樂-娛樂服務業,5263
休閒娛樂-娛樂服務業,5701
休閒娛樂-娛樂服務業,8462
休閒娛樂-娛樂服務業,9943
休閒娛樂-旅遊服務業,2719
休閒娛樂-旅遊服務業,2731
休閒娛樂-旅遊服務業,2734
休閒娛樂-旅遊服務業,2743
休閒娛樂-旅遊服務業,2745
休閒娛樂-旅遊服務業,5301
休閒娛樂-旅遊服務業,5706
休閒娛樂-旅館服務業,1532
休閒娛樂-旅館服務業,2514
